gene,AC-like,Astrocyte,B_cell,CD4_CD8,DC,Endothelial,MES-like,Mast,Mono,Mural_cell,NK,NPC-like,Neuron,Neutrophil,OPC,OPC-like,Oligodendrocyte,Plasma_B,RG,TAM-BDM,TAM-MG
A1BG,0.4499829886969342,0.0510585305105853,0.1174256680466691,0.1641080975035558,0.4550635686102586,0.1123904450936587,0.3435833697034099,0.2095588235294117,0.37466478131552,0.4588139723801787,0.1859727070771183,0.2087309260582622,0.101600887620859,0.0128981825288254,0.0448979591836734,0.4789916676525766,0.4921804420710285,0.8677900194426442,0.0069738480697384,0.3255706244654189,0.1480663589324347
A2M,1.5517786262427702,0.1880448318804483,0.1509220925856229,0.2250036784540683,0.907606313020605,27.89499914074583,4.33473120932086,0.2549019607843137,3.717611780194061,10.655889520714863,0.1536020311012377,0.5607003236790113,0.1128546520843239,0.1053351573187414,0.2787284144427001,0.9775466053712374,0.2280821505289996,0.4543097861309138,0.0206724782067247,10.218609584922293,10.372326849645574
AAAS,1.5423808263713,3.6774595267745953,0.0334964245389537,0.0851929962234538,0.146755808855765,0.2741020793950851,0.7990284445625154,0.0686274509803921,0.1484957823394607,0.2090982940698619,0.095842589654078,2.0387363907688427,0.2016167379933428,0.0037131131522376,0.5649529042386185,1.16668075109436,0.534741322197908,0.152948801036941,0.1163138231631382,0.1651608131982236,0.0845089379181081
AAK1,0.961773711866329,2.407222914072229,0.0613473842679713,0.9513463141890236,0.4562691801841297,0.9945007733287506,1.02713523975787,0.3333333333333333,1.0271100492466725,1.1848903330625509,0.5026975563313234,1.0729959224851822,3.782215882073229,0.0660543287082274,1.90671114599686,1.2241198641134416,1.3701391258958864,0.5878159429682437,0.0682440846824408,1.1389070454519987,0.911976710566982
AAMP,3.435776660492193,8.579078455790784,0.1080165600301091,0.2324881063318456,0.394563787812363,0.5622959271352466,2.2593787358393898,0.1409313725490196,0.5271344287873616,0.9871649065800162,0.2488099016185338,4.127600992055152,0.6267237280076082,0.0130936095368379,1.523547880690738,2.5304561664441327,1.122081467948847,0.5165262475696695,0.2423412204234122,0.5533535275815832,0.3722121970429598
AARS1,1.84404793407175,6.896637608966376,0.0398946179902145,0.0940801412526362,0.1409469530907496,0.2204846193504038,1.83729292775954,0.1053921568627451,0.2270222829001901,0.3218521527213647,0.0580768010155506,1.8558577493799653,1.0565858297669994,0.0062536642564002,1.5736263736263736,1.3330657292071597,1.3007568609343318,0.4873622812702528,0.1033623910336239,0.3243044376300269,0.2319970489417066
AASS,2.488791441424413,12.160647571606477,0.0090327436958976,0.0627593310118201,0.0179745725558965,0.1912699776593916,1.5928385737869788,0.0441176470588235,0.0190160417377736,0.4563769293257514,0.0072992700729927,1.4107780907141956,0.1608812807100967,0.001172562048075,2.124175824175824,1.6828046039177245,1.074260705466664,0.0285158781594296,0.0811955168119551,0.0627640223655656,0.0729439797413836
AATK,0.0571882206176993,0.1668742216687422,0.0048927361686112,0.0079454607876796,0.0169881630863656,0.0728647533940539,0.0829712138750261,0.008578431372549,0.1055877907260227,0.051340373679935,0.0184068549666772,0.1406532430955483,0.6929782849896973,0.0263826460816884,0.3794348508634222,0.1800581405175182,2.6488928148400954,0.101749837977965,0.0181818181818181,0.0645381779608789,0.0225117892784861
ABAT,1.892964881109893,4.36612702366127,0.0286036883703424,0.0634950218254941,0.0862560280578693,0.0658188692215157,0.6858384409571339,0.0367647058823529,0.079257886781413,0.0937449228269699,0.0257061250396699,2.672684854344445,1.2856237121572356,0.0170021496970881,2.608359497645212,2.299170145520307,0.3525325731264178,0.0213869086195722,0.1579078455790784,0.1258455252060822,0.111796257340259
ABCA1,1.2985219067780591,5.867995018679951,0.1068874670681219,0.0997302467016528,0.6048882069267865,0.4397662828664719,2.849247613806713,1.0502450980392155,3.0474669657223656,1.549471974004874,0.0377657886385274,1.815671108495523,0.969091773656681,0.2306038694547586,1.0706043956043956,1.3162066692582013,2.597358013290237,0.1892417368762151,0.0244084682440846,2.747991469112885,0.9647069379779268
ABCA2,0.4560163308509432,7.582814445828144,0.007527286413248,0.0645053705429398,0.0520604997807978,0.0744114108953428,0.4193438205658551,0.025735294117647,0.0353747135403968,0.3117790414297319,0.1059980958425896,0.3074740426247425,0.6267237280076082,0.0025405511041625,1.819701726844584,0.351530413913161,7.394952922045332,0.2281270252754374,0.0037359900373599,0.07181781849828,0.050442160254429
ABCA5,0.4496125203190564,0.1183063511830635,0.0417764395935265,0.1022119770464466,0.0853792196405085,0.0931431517442859,0.2885918138864115,0.0759803921568627,0.0677263640353015,0.1839155158407798,0.0656934306569343,0.3496574046828366,1.5249643366619114,0.0052765292163376,0.5089481946624804,0.2862406408977977,0.5686494950914457,0.2423849643551523,0.0144458281444582,0.0664281205529389,0.0345552974487303
ABCB1,0.0774505727138698,0.0386052303860523,0.0105382009785472,0.1191917210260434,0.0233450241122314,4.163086440969239,0.0287576614357008,0.0306372549019607,0.0067043736895996,0.248578391551584,0.2805458584576325,0.0361511623019042,0.1764146457441749,0.0009771350400625,0.0220957613814756,0.0525208308685584,0.0122061392061994,0.034348671419313,0.0004981320049813,0.0117953334105246,0.0046209983749239
ABCB10,0.2290099421615695,0.9738480697384808,0.0109145652992096,0.0483594094855068,0.1091626479614204,0.1412613851177178,0.1704965938632611,0.0649509803921568,0.0916670729923448,0.1351746547522339,0.0504601713741669,0.2321451090840304,0.456490727532097,0.0046902481923001,0.3467032967032967,0.1960552334916423,0.2170404127602336,0.0460142579390797,0.0042341220423412,0.0904931405542088,0.0626252455061164
ABCB7,1.0269912675310928,0.7696139476961394,0.0636055701919458,0.1464515179753789,0.256576063130206,0.2885375494071146,0.6799180250099622,0.079656862745098,0.2350919108683992,0.3064175467099919,0.0768010155506188,1.1600529656563958,0.5523854810588049,0.0064490912644127,0.737480376766091,0.8633528825189717,0.4270542651221617,0.0933246921581335,0.060024906600249,0.2689619882494873,0.1889076099418761
ABCB8,0.5988281102332439,1.7148194271481942,0.0308618742943168,0.0686939035754573,0.1159579131959666,0.0998453342498711,0.3983377293686787,0.1580882352941176,0.1160222341411087,0.1548334687246141,0.0580768010155506,0.5847660683509185,0.4415913773973688,0.0041039671682626,0.5149529042386185,0.4965352307874321,0.2936901487623216,0.2158133506156837,0.0112079701120797,0.1340813422327468,0.0966521440036688
ABCB9,0.1884020715986844,5.23785803237858,0.0041400075272864,0.0096130266320074,0.0096448925909688,0.0689121842240934,0.1614546765593275,0.0196078431372549,0.0112145887171485,0.0420796100731112,0.0031735956839098,0.220963470511581,0.8107465525439848,0.0013679890560875,0.1363814756671899,0.1479033920935656,0.1892754612435004,0.2320155541153596,0.0052303860523038,0.0197734309928174,0.0157672253073188
ABCC1,0.1834801345783087,1.3835616438356164,0.0398946179902145,0.2647113639707685,0.2012275317843051,0.1199518817666265,0.4929315546784569,0.4301470588235294,0.1943049392949437,0.0649878147847278,0.0593462392891145,0.2682752532683173,0.9451577112062134,0.0056673832323627,0.4180533751962323,0.2288775837882603,0.217060488647086,0.0972132209980557,0.0047322540473225,0.1766461362626198,0.0856454941527172
ABCC3,0.6703663100593505,0.4645080946450809,0.007527286413248,0.0148217175928196,0.0603901797457255,0.0537893108781577,1.4205013377862958,0.0208333333333333,0.4553123019162319,0.0550771730300568,0.0047603935258648,0.0454411702887889,0.2486923442700903,0.0062536642564002,0.1739010989010989,0.378580965741038,0.036538114071189,0.0337005832793259,0.0024906600249066,0.2786731557185704,0.0916273690717127
ABCC4,0.2959059463954939,1.0585305105853051,0.0270982310876928,0.0636421599882289,0.4081543182814555,0.150197628458498,0.2195677337330879,0.7377450980392157,0.1022234141108781,0.1132412672623883,0.02253252935576,0.192610029845727,0.2293548898399112,0.0035176861442251,0.4031004709576138,0.2073199587607957,0.0637610166429102,0.1944264419961114,0.0112079701120797,0.7930288757829629,0.8810803266103706
ABCC8,0.1016746682795902,3.816936488169365,0.0003763643206624,0.0004021776448084,0.0005480052608505,0.002234060835195,0.0523159832254881,0.0012254901960784,0.0003900726510312,0.0022745735174654,0.0,0.3637185253688679,0.5533365034078301,0.0,1.0930926216640502,0.0903375192252438,0.0252353897733432,0.000648088139987,0.0022415940224159,0.000825449234872,0.0011315713388433
ABCC9,1.063115714663743,1.951432129514321,0.0007527286413248,0.0770905880621904,0.0537045155633494,0.2290771610242309,0.6225734833678058,0.0,0.0531961577843873,1.2588139723801788,0.0847350047603935,1.9387532052629368,0.0870185449358059,0.0001954270080125,0.0976452119309262,0.8573782682914463,0.2670092951356126,0.000648088139987,0.035865504358655,0.0680678138294494,0.102963022043209
ABCD1,0.0931841379049635,0.1656288916562889,0.0176891230711328,0.0241306586885085,0.1218763700131521,0.1900670218250558,0.0813962314275413,0.7205882352941176,0.2074698912672485,0.0636880584890333,0.0345921929546175,0.0757703140106772,0.0234585512759549,0.0093804963846003,0.0406593406593406,0.0936924299018033,0.0527995824215534,0.0466623460790667,0.0024906600249066,0.1733592795807763,0.1081273740566084
ABCE1,1.716516085132121,2.3337484433374844,0.1170493037260067,0.2093383687282358,0.4556115738711092,0.6667812338889844,1.1245754188884038,0.1470588235294117,0.4687941879174996,0.6768480909829407,0.2294509679466836,2.0757282777754424,0.3613884926295768,0.0191518467852257,1.05223704866562,1.5605743066236246,0.7965710385256268,0.4335709656513286,0.2777085927770859,0.5035165631431314,0.3864091801840423
ABCG1,0.1009337315238347,0.386052303860523,0.1204365826119683,0.2512825543185051,0.5554581323980711,1.289568654407974,0.1219947247575855,0.1311274509803921,0.917840947876542,0.4118602761982128,0.1415423675023802,0.7855941821850435,0.4580757647804723,0.13328121946453,1.0998430141287283,0.4439045413828654,1.3999518178715544,0.1756318859364873,0.0032378580323785,1.022701721491187,0.4775380596791721
ABHD12,1.736302120742449,4.25653798256538,0.0538200978547233,0.1454313600470842,0.5481148619026742,0.3019419144182849,0.8969335281504393,0.1164215686274509,0.8824418547954557,0.5484971567831032,0.1155188828943192,1.1883433519693976,1.2345855127595498,0.0191518467852257,2.681436420722135,1.2555394054118003,1.995543153118789,0.2812702527543746,0.0211706102117061,1.2679236403431775,0.9139906084563773
ABHD2,2.441106868786149,15.729763387297634,0.0654873917952578,0.1421943204669184,0.5060280578693556,0.8903591682419659,1.2606880585969371,0.4007352941176471,0.8025257204154274,1.5020308692120228,0.1355125357029514,1.830720080709572,1.78792201616738,0.0725034199726402,9.955062794348509,1.9611607821927763,0.5751741583184438,0.1937783538561244,0.0306351183063511,0.7237546361487004,0.3917629582365433
ABHD3,1.295973991607757,4.156911581569116,0.066616484757245,0.3297464318995536,0.3946733888645331,0.2374978518645815,0.4855594982826998,0.1458333333333333,0.4177921887951631,0.2420796100731113,0.1605839416058394,0.9311656648030604,0.5311459819305754,0.0490521790111393,0.4673469387755102,1.1328020687207396,0.335046475678063,0.5152300712896954,0.0077210460772104,0.6403618530401557,0.515527950310559
ABHD5,0.72630703511889,0.7459526774595268,0.0726383138878434,0.1620089263818726,0.3031565103024989,0.7026980580855817,0.7036755915672024,0.1127450980392156,1.1467404554098202,1.0027619821283509,0.0891780387178673,0.8008953718105006,0.3672531304485655,0.6095368379910103,0.5134222919937206,0.6342217790322308,0.6502378992591997,0.2747893713545042,0.021917808219178,0.7048701504857451,0.273715641605934
ABHD6,0.2965032321475825,1.9227895392278955,0.0210764019570944,0.0294570601795085,0.1292196405085489,0.2218594260182161,0.217575286058559,0.0428921568627451,0.158296357696621,0.0781478472786352,0.0171374166931133,0.631657488755307,0.7890315422412427,0.0044948211842876,1.4414050235478806,0.3455642503422516,1.3808596494750156,0.0246273493195074,0.0072229140722291,0.1448383277369618,0.073078571927061
ABI1,1.2255093940195818,13.849315068493151,0.2070003763643206,0.5381333071754377,0.8248575186321788,0.8264306581886922,0.9012504981119186,0.321078431372549,1.0159198400702132,1.009748172217709,0.4122500793398921,1.5371390138299217,1.1825962910128387,0.0977135040062536,1.642503924646782,0.8964118512008383,0.5875409046194615,0.4296824368114063,0.0221668742216687,1.4739684685862409,0.9529874480324616
ABI2,3.500540581408536,5.611457036114571,0.0481746330447873,0.1269311883858943,0.2997588776852258,0.8790170132325141,1.884950378565058,0.1997549019607843,0.2088107660051684,1.3665312753858652,0.1301174230403046,3.0091849173987977,2.366302108099541,0.0099667774086378,2.3392464678178966,2.711452329846029,0.9672763044307482,0.1568373298768632,0.1422166874221668,0.3690430391472101,0.2826086956521739
ABI3BP,0.0868408120061996,0.5541718555417185,0.0007527286413248,0.0048065133160037,0.0026304252520824,0.0341983158618319,0.2140078559365452,0.0024509803921568,0.0044370764054805,0.3025182778229082,0.0003173595683909,0.0307284879566186,0.1697574893009985,0.0001954270080125,0.0484301412872841,0.0460814305271519,0.0161610889161028,0.0019442644199611,0.0007471980074719,0.0041571266896497,0.0035143515149098
ABL1,0.7361735908970627,1.957658779576588,0.0387655250282273,0.1170729314826622,0.3030469092503288,0.6002749613335625,0.7477371487124993,0.0477941176470588,0.1852845092398459,0.5470349309504468,0.0615677562678514,0.7486233132960612,1.4081470914566492,0.0037131131522376,1.568956043956044,0.6965960755150675,1.1694605609202786,0.084899546338302,0.0328767123287671,0.2493342247687061,0.2071174341744514
ABL2,0.587744301213473,1.8231631382316316,0.066616484757245,0.099592917749767,0.866286716352477,2.082660250902217,0.9109281011024876,0.1629901960784313,1.426763859768882,1.1200649878147848,0.04823865439543,0.6880280802051368,1.7013789824060863,0.080125073285128,1.6380690737833594,0.6461372048608177,0.5986428700487844,0.2313674659753726,0.0398505603985056,2.6824373536321637,1.6590181749299622
