gene,AC-like,AC-like_Prolif,Astrocyte,B_cell,CD4_INF,CD4_rest,CD8_EM,CD8_NK_sig,CD8_cytotoxic,DC1,DC2,DC3,Endo_arterial,Endo_capilar,MES-like_hypoxia_independent,MES-like_hypoxia_MHC,Mast,Mono_anti-infl,Mono_hypoxia,Mono_naive,NK,NPC-like_OPC,NPC-like_Prolif,NPC-like_neural,Neuron,OPC,OPC-like,OPC-like_Prolif,Oligodendrocyte,Pericyte,Perivascular_fibroblast,Plasma_B,Prolif_T,RG,Reg_T,SMC,SMC_COL,SMC_prolif,Scavenging_endothelial,Scavenging_pericyte,Stress_sig,TAM-BDM_INF,TAM-BDM_MHC,TAM-BDM_anti-infl,TAM-BDM_hypoxia_MES,TAM-MG_aging_sig,TAM-MG_pro-infl_I,TAM-MG_pro-infl_II,TAM-MG_prolif,Tip-like,VLMC,cDC1,cDC2,pDC
A1BG,0.8924147618439535,1.6114996114996114,0.1213872832369942,0.1136,0.1549831081081081,0.171013039117352,0.2218120451429174,0.0776523702031602,0.1706564387426707,0.3309090909090909,0.4590163934426229,1.0379596678529064,0.026431718061674,0.047970479704797,0.3190631599155308,0.7644731636555453,0.1876675603217158,0.4245283018867924,0.4392244593586875,0.2231614539306847,0.187625552430695,0.2777283247285028,0.357429718875502,0.4861654135338346,13.045454545454543,0.4133064516129032,1.2871953237013345,0.449017199017199,1.267126031567983,0.3861538461538462,2.3076923076923075,1.4388111888111887,0.1955090979481223,0.0,0.2956841138659321,0.7471264367816092,0.5342465753424658,0.217391304347826,0.0236220472440944,0.0111111111111111,0.1451734539969834,0.3042290330244713,0.4642921066762126,0.3967391304347826,0.7481847226256172,0.2092805979445655,0.2520480611687602,0.162640406216341,0.1178217821782178,0.0285714285714285,0.2891566265060241,0.5144927536231884,0.5020242914979757,0.7988505747126436
A2M,3.3076022645043204,1.8627298627298627,0.2543352601156069,0.1,0.0880489864864864,0.0817452357071213,0.6726083746440249,0.0650112866817155,0.0812943614160384,0.2872727272727273,0.2950819672131147,0.2633451957295373,37.5726872246696,32.140221402214024,6.830293722403533,12.840124840652337,0.1018766756032171,13.457992168031328,3.576062639821029,0.5792054099746408,0.1233427079148252,0.8797400747730105,0.1913536498936924,1.84406015037594,3.4545454545454546,5.421370967741935,3.071467960736737,1.839066339066339,0.4992388430414229,59.932307692307695,56.56410256410256,0.6538461538461539,0.1463414634146341,0.0010687566797292,0.0924395469850015,4.804597701149425,5.027397260273973,25.25,25.88976377952756,17.733333333333334,0.0279034690799396,19.51009741031124,19.612135314122067,36.18717391304348,16.255300609933197,36.35226564933043,20.136992535954853,22.689029081397138,2.779207920792079,206.7142857142857,0.9397590361445785,0.1159420289855072,1.7489878542510122,0.057471264367816
AAAS,3.7034648618737496,4.711732711732712,16.647398843930635,0.036,0.0608108108108108,0.0554162487462387,0.1665436135428752,0.0532731376975169,0.1065996561301415,0.1309090909090909,0.1311475409836065,0.225385527876631,0.158590308370044,0.1476014760147601,0.4871376463812632,3.0358257505824437,0.0831099195710455,0.3650765396938412,0.2923191648023863,0.1433643279797126,0.1060666934511852,3.190938223250846,1.6182376565083865,6.90015037593985,25.681818181818183,24.302419354838708,5.092257637586854,7.128992628992629,1.80850893357904,0.4076923076923077,2.333333333333333,0.2027972027972027,0.1544715447154471,0.1442821517634485,0.2167125803489439,0.2988505747126437,0.2876712328767123,0.6413043478260869,0.0944881889763779,0.1,0.1498868778280543,0.1457590876692801,0.3062466439949883,0.5210054347826087,0.7835221221802692,0.159412955465587,0.324868013835791,0.1265579319895368,0.0376237623762376,5.291428571428572,0.1204819277108433,0.0579710144927536,0.2570850202429149,0.0919540229885057
AAK1,1.2982590558889882,2.874902874902875,7.265895953757226,0.0264,0.4560810810810811,0.5052657973921765,0.7906338993777028,0.4961625282167043,0.6286205528369263,0.24,0.2622950819672131,0.2099644128113879,0.9074889867841408,0.6199261992619927,0.4618928777116529,1.4948788957756385,0.1447721179624665,1.2079031683873265,0.8411633109619687,0.5700760777683854,0.497790277219767,0.9797044685775324,1.612095440585873,2.3851127819548874,187.63636363636363,30.681451612903224,2.9076320723502813,1.5734029484029484,1.384824933899527,1.726153846153846,4.641025641025641,0.9265734265734266,0.7994579945799458,0.0566441040256501,1.2528313437404346,0.9885057471264368,2.808219178082192,1.0978260869565215,0.6377952755905512,1.0555555555555556,0.7021116138763197,0.7887859349014018,1.1088240558439233,1.428804347826087,1.407396650208152,1.1604640298972282,0.864463863098489,0.9574549930758578,0.1562376237623762,1.3314285714285714,0.0963855421686747,0.181159420289855,0.4210526315789473,0.0919540229885057
AAMP,8.592410505256884,7.468013468013468,39.283236994219656,0.1592,0.171875,0.2507522567703109,0.5162957493935239,0.1702031602708803,0.2839571485253273,0.6181818181818182,0.5573770491803278,0.5693950177935944,0.5594713656387665,1.822878228782288,1.4255135342676135,8.862411534572948,0.1581769436997319,1.2778568885724455,1.3042505592841165,0.5002535925612849,0.2619525914021695,7.455492255652484,2.61020552799433,14.584511278195489,134.36363636363637,73.14717741935483,12.068269548913642,12.367321867321868,3.957455332104799,2.6,9.153846153846152,0.9947552447552448,0.4696089818041037,0.3192019950124688,0.6835016835016835,1.8505747126436785,2.068493150684932,3.847826086956522,1.31496062992126,2.216666666666667,0.2149321266968326,1.0744832501781896,0.8963665652407374,1.549211956521739,2.0929422015684,1.133019308626596,0.8073912251957036,0.7657331897214956,0.2241584158415841,2.0742857142857143,0.4698795180722891,0.4057971014492754,0.611336032388664,0.2413793103448276
AARS1,4.5877069765462055,2.727272727272727,31.121387283236995,0.0424,0.0534206081081081,0.0491474423269809,0.2101044193650458,0.0428893905191873,0.0716836397301944,0.1672727272727272,0.0655737704918032,0.1874258600237248,0.4625550660792951,0.1217712177121771,1.265789978882703,6.951734142160095,0.1206434316353887,0.4866500533997864,0.4146159582401193,0.1528317836010143,0.0570510245078344,3.791525725476233,1.080793763288448,5.528872180451128,144.04545454545453,66.43548387096774,6.1999007389434215,6.396191646191646,3.99951926928932,0.4215384615384615,0.6923076923076923,0.7709790209790209,0.1533101045296167,0.1353758460990381,0.4239363330272421,0.264367816091954,1.9863013698630136,0.2391304347826087,0.6299212598425197,0.85,0.0950226244343891,0.2576621525302922,0.4193663862538034,0.7087771739130435,1.892729209023139,0.6174478355652445,0.6332605133806664,0.3105862440375442,0.1241584158415841,0.24,0.253012048192771,0.1521739130434782,0.1651821862348178,0.0804597701149425
AASS,5.539713957348997,4.08987308987309,53.64739884393064,0.0048,0.0038006756756756,0.0035105315947843,0.4764265372850965,0.0045146726862302,0.0077150288762509,0.0036363636363636,0.0,0.026097271648873,0.1365638766519823,1.6531365313653137,0.6083701286235362,5.609345465734758,0.0268096514745308,0.0348878604485582,0.0156599552572706,0.030938292476754,0.0072318200080353,2.044240697881432,1.0101582801795417,5.2159398496240605,2.3181818181818183,74.18346774193549,7.855189147457814,3.2174447174447174,2.338514542103998,0.2953846153846154,23.64102564102564,0.0472027972027972,0.005420054200542,0.0951193444959031,0.0973370064279155,0.0977011494252873,0.7534246575342466,2.0869565217391304,0.1574803149606299,0.4222222222222222,0.0350678733031674,0.0226894749346638,0.0229103275460891,0.2385597826086956,0.0363055474876561,0.1969402055434444,0.0839249954487529,0.0780889367595014,0.0061386138613861,0.0685714285714285,0.036144578313253,0.0,0.0141700404858299,0.0114942528735632
AATK,0.0610820244328097,0.0559440559440559,0.1156069364161849,0.0088,0.0025337837837837,0.003259779338014,0.0048518088809197,0.0054176072234762,0.0067451395318079,0.0,0.0,0.0047449584816132,0.0484581497797356,0.070110701107011,0.0435784219619888,0.0640028133104751,0.002680965147453,0.1085795656817372,0.0607755406413124,0.0513947590870667,0.0212936922458818,0.2341107352679366,0.0467753366406803,0.1804511278195488,8.045454545454545,4.354838709677419,0.2900628653358332,0.1001228501228501,4.427209358224501,0.0138461538461538,0.0,0.2692307692307692,0.0092915214866434,0.0235126469540434,0.0073461891643709,0.0057471264367816,0.0273972602739726,0.0217391304347826,0.4960629921259842,0.7722222222222223,0.0016968325791855,0.0125920646234259,0.0162878109897977,0.1265760869565217,0.0273017717107173,0.013663967611336,0.0100127434917167,0.0226957993537467,0.0021782178217821,0.0114285714285714,0.0120481927710843,0.0072463768115942,0.0093117408906882,0.0
ABAT,4.259609245307113,3.046102046102046,16.566473988439306,0.0208,0.0194256756756756,0.0160481444332999,0.0749920894420419,0.01941309255079,0.0329762377110611,0.0509090909090909,0.0,0.0379596678529062,0.0969162995594713,0.066420664206642,0.1980226531004031,2.215218251351708,0.0160857908847185,0.0815236739053043,0.0443698732289336,0.0835164835164835,0.0249096022498995,4.295264376001424,3.048901488306166,8.325112781954887,79.4090909090909,72.99596774193549,10.581008051174589,4.156326781326781,0.6824773655957055,0.0353846153846153,0.0256410256410256,0.0192307692307692,0.0511033681765389,0.1895261845386533,0.0801958983777165,0.0517241379310344,0.0547945205479452,0.0108695652173913,0.5669291338582677,0.7111111111111111,0.0341251885369532,0.0615348063673081,0.087166636835511,0.3116847826086956,0.054893987801336,0.1604251012145749,0.1106863280538867,0.1075550084628404,0.0162376237623762,0.0914285714285714,0.180722891566265,0.1666666666666666,0.0668016194331983,0.028735632183908
ABCA1,2.1578980973055804,0.975912975912976,17.427745664739884,0.0448,0.0171030405405405,0.0168004012036108,0.07921105368632,0.0085778781038374,0.0229246572322885,0.2145454545454545,0.0983606557377049,0.4080664294187426,0.5770925110132159,0.2324723247232472,1.6624112113649452,6.165765528155084,1.415549597855228,6.147205411178355,3.070842654735272,0.7766694843617921,0.0269184411410204,1.2957094534448994,0.4145995747696669,8.055338345864662,3.363636363636364,5.51008064516129,4.191739274291386,1.808968058968059,1.5837673263360308,2.890769230769231,58.35897435897436,0.2027972027972027,0.0286488579171506,0.0124688279301745,0.4135292317110499,0.0632183908045977,2.904109589041096,0.0,1.7716535433070866,3.0055555555555555,0.0082956259426847,1.499168448562604,1.9411132987291928,3.9075815217391305,5.770839384257915,1.62200249143569,1.008556344438376,1.5324665333128171,0.1645544554455445,0.3542857142857142,0.2891566265060241,0.181159420289855,0.2834008097165992,0.0632183908045977
